Frame,Ángulo Rodilla (°)
6,133.71387981994891
7,125.82682686639137
8,121.76967286423262
9,112.79526131047922
10,99.95691741206839
11,93.84027448956894
12,77.14861007511026
13,59.944352133097325
14,31.947988774536245
15,82.44732223101651
16,144.68274010882033
17,150.37117348652734
18,159.73502993865407
19,164.04542776244762
20,167.51564751453378
21,166.49514134163897
22,166.1986767440458
23,165.73576587080163
24,163.59783964896604
25,162.57376480241038
26,162.0345377717468
27,161.14616639664422
28,161.00033555484578
29,160.8212877864977
30,159.88446263002788
31,158.02981412171508
32,152.28893113593938
33,148.453690282191
34,143.48858990275676
35,137.8629195690372
36,134.42304959299398
37,136.06637909014836
38,133.83965722234734
39,134.0735666212836
40,133.05408834683817
41,130.47696246570132
42,134.79817377670955
43,139.86138935881678
44,147.95282725023165
46,169.40424919284163
47,165.43253910673863
49,142.46679235455497
50,128.30046237252523
51,148.37743037365593
52,167.5670947584487
53,168.658073812854
54,164.40296834214791
55,170.08419353068612
56,173.45673971512653
57,179.29266624510709
58,169.60911688127717
59,161.93659838924623
60,143.34167456189695
61,142.83535409628132
62,144.88184545760615
63,146.3749380122785
64,153.87609232492176
65,156.1302944339226
66,160.46243584473794
67,161.02484590301844
68,164.39434492595362
69,167.8157653163933
70,167.5052366490554
71,167.53406569624642
72,168.39249903225345
73,167.61156499073851
74,164.82932568161914
75,163.6643965636835
76,161.3764758700978
77,151.29974137875422
78,150.7431565023142
79,152.80304275895386
80,159.67773607570382
81,163.14944818306932
82,160.95711599262677
